コード,銘柄名,業種,配当利回り(%),PER(倍),PBR(倍),ミックス係数,自己資本比率(%),ROE(%),営業利益率(%),売上CAGR3年(%),営利CAGR3年(%),連続増配(年),過去10年減配回数,配当性向(%),D/Eレシオ,FCF3年連続+,スコア合計,最終更新日,採用区分,スクリーニング理由,メモ
1605,INPEX,エネルギー,2.60,12.38,1.00,12.44,65.33,8.46,56.15,22.11,25.48,5,5,30.25,0.25,3,,2026-03-07,通常,,時価総額=47544.67億円 / 上場年数=26
8411,みずほFG,銀行,2.23,15.53,1.45,22.49,3.69,9.65,36.26,13.10,,5,3,34.97,,2,,2026-03-07,通常,,時価総額=161245.29億円 / 上場年数=23
8316,三井住友FG,銀行,2.91,14.51,1.33,19.25,4.80,4.93,39.31,13.96,,9,3,37.47,,2,,2026-03-07,通常,,時価総額=207050.33億円 / 上場年数=26
8306,三菱UFJ FG,銀行,2.85,16.38,1.46,23.98,4.97,6.11,34.84,13.29,,11,1,43.95,,1,,2026-03-07,通常,,時価総額=312154.95億円 / 上場年数=20
2914,JT,食品,4.26,20.32,2.48,50.45,45.00,12.15,24.62,10.65,-14.39,10,4,83.25,0.46,3,,2026-03-07,通常,,時価総額=101445.69億円 / 上場年数=26
8766,東京海上HD,保険,3.41,11.22,2.20,24.72,16.25,20.66,14.39,9.66,,7,4,35.73,4.22,3,,2026-03-07,通常,,時価総額=115878.75億円 / 上場年数=26
9433,KDDI,通信,2.99,14.78,2.05,30.23,30.39,14.23,19.15,2.80,1.14,21,0,42.91,0.91,3,,2026-03-07,通常,,時価総額=101591.88億円 / 上場年数=26
8591,オリックス,その他金融,3.81,12.16,1.22,14.86,24.25,10.69,19.55,5.39,,6,4,36.40,1.42,1,,2026-03-07,通常,,時価総額=52487.90億円 / 上場年数=25
8725,MS&AD,保険,2.90,8.55,1.32,11.28,15.25,16.31,13.98,8.24,,13,0,22.81,0.17,3,,2026-03-07,通常,,時価総額=60480.30億円 / 上場年数=17
6301,コマツ,機械,2.66,15.96,1.93,30.82,54.96,12.52,13.86,13.56,27.45,7,2,44.96,0.43,3,,2026-03-07,通常,,時価総額=64635.50億円 / 上場年数=26
9432,NTT,通信,3.53,12.03,1.30,15.62,34.00,10.72,14.65,4.08,-2.59,22,0,41.80,2.82,3,,2026-03-07,通常,,時価総額=123285.98億円 / 上場年数=26
5108,ブリヂストン,輸送用機器周辺,3.73,14.00,1.21,16.96,65.20,8.64,15.98,10.92,5.57,9,3,46.29,0.22,3,,2026-03-07,通常,,時価総額=44360.38億円 / 上場年数=26
